====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   r   s   m   m   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   r   e   t   a   a   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   a   a   a   s   s   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   w   d   r   k   k   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   y   t   _   _   s   r   e   _   _   _   _   _   _   _   _     
              |         7   7   7   7   7   7   7   7   e           s   s   t   e       7   7   7   7   7   7   7   7     
              |         _   _   _   _   _   _   _   _   r           e   e   a   a       _   _   _   _   _   _   _   _     
              |         0   0   0   0   0   0   0   0   a           l   l   r   d       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   s           e   e   t   y       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   e           c   c               7   6   5   4   3   2   1   0     
              |                                                     t   t                                                 
              |                                                     _   _                                                 
              |                                                     1   1                                                 
              |                                                     _   _                                                 
              |                                                     0   0                                                 
              |                                                     _   _                                                 
              |                                                     1   0                                                 
====================================================================================================================================
       9512.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9594.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9676.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9758.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9840.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9922.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10004.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10086.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10168.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10250.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10332.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10414.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10496.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10578.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10660.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10742.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10824.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10906.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      10988.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      11070.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      11152.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      11234.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
      11316.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
