====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d       t   t 
              |         n   u   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r       a   a 
              |             t   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _       _   _ 
              |                 i   i   i   i   i   i   i   o   o   o   o   o   o   o   o       i   o 
              |                 n   n   n   n   n   n   n   u   u   u   u   u   u   u   u       n   u 
              |                 _   _   _   _   _   _   _   t   t   t   t   t   t   t   t           t 
      18040.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18122.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18204.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18286.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18368.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18450.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18532.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18614.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18696.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18778.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18860.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      18942.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19024.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19106.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19188.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19270.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19352.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19434.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19516.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19598.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19680.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19762.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19844.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      19926.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20008.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20090.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20172.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20254.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20336.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20418.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20500.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20582.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20664.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20746.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20828.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20910.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      20992.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21074.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21156.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21238.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21320.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21402.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21484.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21566.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21648.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21730.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21812.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21894.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      21976.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22058.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22140.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22222.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22304.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22386.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22468.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22550.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22632.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22714.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22796.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22878.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      22960.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23042.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23124.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23206.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23288.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23370.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23452.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23534.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23616.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23698.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23780.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23862.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      23944.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24026.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24108.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24190.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24272.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24354.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24436.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24518.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24600.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24682.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24764.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24846.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      24928.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25010.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25092.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25174.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25256.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25338.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25420.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25502.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25584.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25666.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25748.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25830.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25912.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      25994.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26076.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26158.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26240.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26322.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26404.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26486.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26568.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26650.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26732.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26814.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26896.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      26978.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27060.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27142.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27224.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27306.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27388.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27470.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27552.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27634.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27716.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27798.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27880.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      27962.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28044.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28126.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28208.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28290.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28372.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28454.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28536.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28618.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28700.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28782.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28864.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      28946.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29028.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29110.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29192.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29274.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29356.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29438.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29520.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29602.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29684.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29766.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29848.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      29930.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30012.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30094.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30176.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30258.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30340.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30422.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30504.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30586.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30668.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30750.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30832.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30914.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      30996.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31078.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31160.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31242.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31324.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31406.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31488.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31570.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31652.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31734.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31816.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31898.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      31980.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32062.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32144.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32226.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32308.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32390.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32472.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32554.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32636.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32718.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32800.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32882.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      32964.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      33046.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      33128.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      33210.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      33251.0 | 0   1   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      33292.0 | 1   1   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      33293.2 | 1   1   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   1   0   0
      33293.7 | 1   1   0   0   0   0   1   1   0   0   0   0   1   1   x   1   1   1   x   1   0   0
      33294.8 | 1   1   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   1   0   0
      33374.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   1   0   0
      33456.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   1   1   0
      33538.0 | 0   0   1   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   1   1   0
      33620.0 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   1   1   0
      33621.9 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   x   1   0
      33622.1 | 1   0   1   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   x   0   1   0
      33623.2 | 1   0   1   0   0   0   1   1   0   0   0   0   1   0   0   0   0   0   0   0   1   0
      33623.3 | 1   0   1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      33702.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      33784.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      33785.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
      33786.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   1   0
      33866.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   1   0
      33948.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      33949.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   0   0
      33950.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   0   0   0
      33952.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   0   0
      33953.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
      34030.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
      34112.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
      34114.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   1   0   0
      34115.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0   0
      34115.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   0   0
      34194.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   0   0
      34276.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   1   0
      34276.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   1   1   1   1
      34277.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      34277.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   0
      34277.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      34358.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      34440.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      34441.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      34441.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      34444.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
      34445.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
      34522.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
      34604.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
      34606.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   0
      34607.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   1
      34607.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   1   1
      34607.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      34686.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      34768.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      34769.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   1
      34769.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   1   1
      34769.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   1   0
      34769.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      34850.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      34932.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      34933.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      34933.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      34936.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
      34937.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0
      35014.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0
      35096.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   0   0
      35098.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   1   0   0
      35099.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   0   0
      35099.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   0   0
      35178.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   0   0
      35260.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   1   0
      35260.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   1   1
      35261.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   1
      35261.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   0
      35261.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
      35342.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
      35424.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
